Timestamp,Track_ID,X_Min,Y_Min,X_Max,Y_Max
667.79,1,959.4,81.9,1181.9,330.9
667.79,2,307.6,74.3,478.1,198.5
667.79,3,109.2,134.6,255.7,330.5
667.79,4,475.4,78.9,650.4,330.5
667.79,5,304.4,76.5,483.5,332.2
667.79,6,480.9,76.7,647.7,200.2
667.82,1,959.4,81.9,1181.9,330.9
667.82,2,307.6,74.3,478.1,198.5
667.82,3,109.2,134.6,255.7,330.5
667.82,4,475.4,78.9,650.4,330.5
667.82,5,304.4,76.5,483.5,332.2
667.82,6,480.9,76.7,647.7,200.2
667.85,1,959.4,81.9,1181.9,330.9
667.85,2,307.6,74.3,478.1,198.5
667.85,3,109.2,134.6,255.7,330.5
667.85,4,475.4,78.9,650.4,330.5
667.85,5,304.4,76.5,483.5,332.2
667.85,6,480.9,76.7,647.7,200.2
667.89,1,959.4,81.9,1181.9,330.9
667.89,2,307.6,74.3,478.1,198.5
667.89,3,109.2,134.6,255.7,330.5
667.89,4,475.4,78.9,650.4,330.5
667.89,5,304.4,76.5,483.5,332.2
667.89,6,480.9,76.7,647.7,200.2
667.92,1,959.4,81.9,1181.9,330.9
667.92,2,307.6,74.3,478.1,198.5
667.92,3,109.2,134.6,255.7,330.5
667.92,4,475.4,78.9,650.4,330.5
667.92,5,304.4,76.5,483.5,332.2
667.92,6,480.9,76.7,647.7,200.2
667.95,1,959.4,81.9,1181.9,330.9
667.95,2,307.6,74.3,478.1,198.5
667.95,3,109.2,134.6,255.7,330.5
667.95,4,475.4,78.9,650.4,330.5
667.95,5,304.4,76.5,483.5,332.2
667.95,6,480.9,76.7,647.7,200.2
667.99,1,959.4,81.9,1181.9,330.9
667.99,2,307.6,74.3,478.1,198.5
667.99,3,109.2,134.6,255.7,330.5
667.99,4,475.4,78.9,650.4,330.5
667.99,5,304.4,76.5,483.5,332.2
667.99,6,480.9,76.7,647.7,200.2
668.02,1,959.4,81.9,1181.9,330.9
668.02,2,307.6,74.3,478.1,198.5
668.02,3,109.2,134.6,255.7,330.5
668.02,4,475.4,78.9,650.4,330.5
668.02,5,304.4,76.5,483.5,332.2
668.02,6,480.9,76.7,647.7,200.2
668.05,1,959.4,81.9,1181.9,330.9
668.05,2,307.6,74.3,478.1,198.5
668.05,3,109.2,134.6,255.7,330.5
668.05,4,475.4,78.9,650.4,330.5
668.05,5,304.4,76.5,483.5,332.2
668.05,6,480.9,76.7,647.7,200.2
668.09,1,959.4,81.9,1181.9,330.9
668.09,2,307.6,74.3,478.1,198.5
668.09,3,109.2,134.6,255.7,330.5
668.09,4,475.4,78.9,650.4,330.5
668.09,5,304.4,76.5,483.5,332.2
668.09,6,480.9,76.7,647.7,200.2
668.12,1,959.4,81.9,1181.9,330.9
668.12,2,307.6,74.3,478.1,198.5
668.12,3,109.2,134.6,255.7,330.5
668.12,4,475.4,78.9,650.4,330.5
668.12,5,304.4,76.5,483.5,332.2
668.12,6,480.9,76.7,647.7,200.2
668.15,1,959.4,81.9,1181.9,330.9
668.15,2,307.6,74.3,478.1,198.5
668.15,3,109.2,134.6,255.7,330.5
668.15,4,475.4,78.9,650.4,330.5
668.15,5,304.4,76.5,483.5,332.2
668.15,6,480.9,76.7,647.7,200.2
668.18,1,959.4,81.9,1181.9,330.9
668.18,2,307.6,74.3,478.1,198.5
668.18,3,109.2,134.6,255.7,330.5
668.18,4,475.4,78.9,650.4,330.5
668.18,5,304.4,76.5,483.5,332.2
668.18,6,480.9,76.7,647.7,200.2
668.22,1,959.4,81.9,1181.9,330.9
668.22,2,307.6,74.3,478.1,198.5
668.22,3,109.2,134.6,255.7,330.5
668.22,4,475.4,78.9,650.4,330.5
668.22,5,304.4,76.5,483.5,332.2
668.22,6,480.9,76.7,647.7,200.2
668.25,1,959.4,81.9,1181.9,330.9
668.25,2,307.6,74.3,478.1,198.5
668.25,3,109.2,134.6,255.7,330.5
668.25,4,475.4,78.9,650.4,330.5
668.25,5,304.4,76.5,483.5,332.2
668.25,6,480.9,76.7,647.7,200.2
668.28,1,959.4,81.9,1181.9,330.9
668.28,2,307.6,74.3,478.1,198.5
668.28,3,109.2,134.6,255.7,330.5
668.28,4,475.4,78.9,650.4,330.5
668.28,5,304.4,76.5,483.5,332.2
668.28,6,480.9,76.7,647.7,200.2
668.32,1,959.4,81.9,1181.9,330.9
668.32,2,307.6,74.3,478.1,198.5
668.32,3,109.2,134.6,255.7,330.5
668.32,4,475.4,78.9,650.4,330.5
668.32,5,304.4,76.5,483.5,332.2
668.32,6,480.9,76.7,647.7,200.2
668.35,1,959.4,81.9,1181.9,330.9
668.35,2,307.6,74.3,478.1,198.5
668.35,3,109.2,134.6,255.7,330.5
668.35,4,475.4,78.9,650.4,330.5
668.35,5,304.4,76.5,483.5,332.2
668.35,6,480.9,76.7,647.7,200.2
668.38,1,959.4,81.9,1181.9,330.9
668.38,2,307.6,74.3,478.1,198.5
668.38,3,109.2,134.6,255.7,330.5
668.38,4,475.4,78.9,650.4,330.5
668.38,5,304.4,76.5,483.5,332.2
668.38,6,480.9,76.7,647.7,200.2
758.8,1,959.4,81.9,1181.9,330.9
758.8,2,307.6,74.3,478.1,198.5
758.8,3,109.2,134.6,255.7,330.5
758.8,4,475.4,78.9,650.4,330.5
758.8,5,304.4,76.5,483.5,332.2
758.8,6,480.9,76.7,647.7,200.2
758.87,1,959.4,81.9,1181.9,330.9
758.87,2,307.6,74.3,478.1,198.5
758.87,3,109.2,134.6,255.7,330.5
758.87,4,475.4,78.9,650.4,330.5
758.87,5,304.4,76.5,483.5,332.2
758.87,6,480.9,76.7,647.7,200.2
758.9,1,959.4,81.9,1181.9,330.9
758.9,2,307.6,74.3,478.1,198.5
758.9,3,109.2,134.6,255.7,330.5
758.9,4,475.4,78.9,650.4,330.5
758.9,5,304.4,76.5,483.5,332.2
758.9,6,480.9,76.7,647.7,200.2
758.93,1,959.4,81.9,1181.9,330.9
758.93,2,307.6,74.3,478.1,198.5
758.93,3,109.2,134.6,255.7,330.5
758.93,4,475.4,78.9,650.4,330.5
758.93,5,304.4,76.5,483.5,332.2
758.93,6,480.9,76.7,647.7,200.2
758.97,1,959.4,81.9,1181.9,330.9
758.97,2,307.6,74.3,478.1,198.5
758.97,3,109.2,134.6,255.7,330.5
758.97,4,475.4,78.9,650.4,330.5
758.97,5,304.4,76.5,483.5,332.2
758.97,6,480.9,76.7,647.7,200.2
759.0,1,959.4,81.9,1181.9,330.9
759.0,2,307.6,74.3,478.1,198.5
759.0,3,109.2,134.6,255.7,330.5
759.0,4,475.4,78.9,650.4,330.5
759.0,5,304.4,76.5,483.5,332.2
759.0,6,480.9,76.7,647.7,200.2
759.03,1,959.4,81.9,1181.9,330.9
759.03,2,307.6,74.3,478.1,198.5
759.03,3,109.2,134.6,255.7,330.5
759.03,4,475.4,78.9,650.4,330.5
759.03,5,304.4,76.5,483.5,332.2
759.03,6,480.9,76.7,647.7,200.2
759.07,1,959.4,81.9,1181.9,330.9
759.07,2,307.6,74.3,478.1,198.5
759.07,3,109.2,134.6,255.7,330.5
759.07,4,475.4,78.9,650.4,330.5
759.07,5,304.4,76.5,483.5,332.2
759.07,6,480.9,76.7,647.7,200.2
759.1,1,959.4,81.9,1181.9,330.9
759.1,2,307.6,74.3,478.1,198.5
759.1,3,109.2,134.6,255.7,330.5
759.1,4,475.4,78.9,650.4,330.5
759.1,5,304.4,76.5,483.5,332.2
759.1,6,480.9,76.7,647.7,200.2
759.13,1,959.4,81.9,1181.9,330.9
759.13,2,307.6,74.3,478.1,198.5
759.13,3,109.2,134.6,255.7,330.5
759.13,4,475.4,78.9,650.4,330.5
759.13,5,304.4,76.5,483.5,332.2
759.13,6,480.9,76.7,647.7,200.2
759.16,1,959.4,81.9,1181.9,330.9
759.16,2,307.6,74.3,478.1,198.5
759.16,3,109.2,134.6,255.7,330.5
759.16,4,475.4,78.9,650.4,330.5
759.16,5,304.4,76.5,483.5,332.2
759.16,6,480.9,76.7,647.7,200.2
759.2,1,959.4,81.9,1181.9,330.9
759.2,2,307.6,74.3,478.1,198.5
759.2,3,109.2,134.6,255.7,330.5
759.2,4,475.4,78.9,650.4,330.5
759.2,5,304.4,76.5,483.5,332.2
759.2,6,480.9,76.7,647.7,200.2
759.23,1,959.4,81.9,1181.9,330.9
759.23,2,307.6,74.3,478.1,198.5
759.23,3,109.2,134.6,255.7,330.5
759.23,4,475.4,78.9,650.4,330.5
759.23,5,304.4,76.5,483.5,332.2
759.23,6,480.9,76.7,647.7,200.2
759.26,1,959.4,81.9,1181.9,330.9
759.26,2,307.6,74.3,478.1,198.5
759.26,3,109.2,134.6,255.7,330.5
759.26,4,475.4,78.9,650.4,330.5
759.26,5,304.4,76.5,483.5,332.2
759.26,6,480.9,76.7,647.7,200.2
759.3,1,959.4,81.9,1181.9,330.9
759.3,2,307.6,74.3,478.1,198.5
759.3,3,109.2,134.6,255.7,330.5
759.3,4,475.4,78.9,650.4,330.5
759.3,5,304.4,76.5,483.5,332.2
759.3,6,480.9,76.7,647.7,200.2
759.33,1,959.4,81.9,1181.9,330.9
759.33,2,307.6,74.3,478.1,198.5
759.33,3,109.2,134.6,255.7,330.5
759.33,4,475.4,78.9,650.4,330.5
759.33,5,304.4,76.5,483.5,332.2
759.33,6,480.9,76.7,647.7,200.2
759.36,1,959.4,81.9,1181.9,330.9
759.36,2,307.6,74.3,478.1,198.5
759.36,3,109.2,134.6,255.7,330.5
759.36,4,475.4,78.9,650.4,330.5
759.36,5,304.4,76.5,483.5,332.2
759.36,6,480.9,76.7,647.7,200.2
759.4,1,959.4,81.9,1181.9,330.9
759.4,2,307.6,74.3,478.1,198.5
759.4,3,109.2,134.6,255.7,330.5
759.4,4,475.4,78.9,650.4,330.5
759.4,5,304.4,76.5,483.5,332.2
759.4,6,480.9,76.7,647.7,200.2
759.43,1,959.4,81.9,1181.9,330.9
759.43,2,307.6,74.3,478.1,198.5
759.43,3,109.2,134.6,255.7,330.5
759.43,4,475.4,78.9,650.4,330.5
759.43,5,304.4,76.5,483.5,332.2
759.43,6,480.9,76.7,647.7,200.2
759.46,1,959.4,81.9,1181.9,330.9
759.46,2,307.6,74.3,478.1,198.5
759.46,3,109.2,134.6,255.7,330.5
759.46,4,475.4,78.9,650.4,330.5
759.46,5,304.4,76.5,483.5,332.2
759.46,6,480.9,76.7,647.7,200.2
759.5,1,959.4,81.9,1181.9,330.9
759.5,2,307.6,74.3,478.1,198.5
759.5,3,109.2,134.6,255.7,330.5
759.5,4,475.4,78.9,650.4,330.5
759.5,5,304.4,76.5,483.5,332.2
759.5,6,480.9,76.7,647.7,200.2
759.53,1,959.4,81.9,1181.9,330.9
759.53,2,307.6,74.3,478.1,198.5
759.53,3,109.2,134.6,255.7,330.5
759.53,4,475.4,78.9,650.4,330.5
759.53,5,304.4,76.5,483.5,332.2
759.53,6,480.9,76.7,647.7,200.2
759.56,1,959.4,81.9,1181.9,330.9
759.56,2,307.6,74.3,478.1,198.5
759.56,3,109.2,134.6,255.7,330.5
759.56,4,475.4,78.9,650.4,330.5
759.56,5,304.4,76.5,483.5,332.2
759.56,6,480.9,76.7,647.7,200.2
759.59,1,959.4,81.9,1181.9,330.9
759.59,2,307.6,74.3,478.1,198.5
759.59,3,109.2,134.6,255.7,330.5
759.59,4,475.4,78.9,650.4,330.5
759.59,5,304.4,76.5,483.5,332.2
759.59,6,480.9,76.7,647.7,200.2
759.63,1,959.4,81.9,1181.9,330.9
759.63,2,307.6,74.3,478.1,198.5
759.63,3,109.2,134.6,255.7,330.5
759.63,4,475.4,78.9,650.4,330.5
759.63,5,304.4,76.5,483.5,332.2
759.63,6,480.9,76.7,647.7,200.2
759.66,1,959.4,81.9,1181.9,330.9
759.66,2,307.6,74.3,478.1,198.5
759.66,3,109.2,134.6,255.7,330.5
759.66,4,475.4,78.9,650.4,330.5
759.66,5,304.4,76.5,483.5,332.2
759.66,6,480.9,76.7,647.7,200.2
759.69,1,959.4,81.9,1181.9,330.9
759.69,2,307.6,74.3,478.1,198.5
759.69,3,109.2,134.6,255.7,330.5
759.69,4,475.4,78.9,650.4,330.5
759.69,5,304.4,76.5,483.5,332.2
759.69,6,480.9,76.7,647.7,200.2
759.73,1,959.4,81.9,1181.9,330.9
759.73,2,307.6,74.3,478.1,198.5
759.73,3,109.2,134.6,255.7,330.5
759.73,4,475.4,78.9,650.4,330.5
759.73,5,304.4,76.5,483.5,332.2
759.73,6,480.9,76.7,647.7,200.2
759.76,1,959.4,81.9,1181.9,330.9
759.76,2,307.6,74.3,478.1,198.5
759.76,3,109.2,134.6,255.7,330.5
759.76,4,475.4,78.9,650.4,330.5
759.76,5,304.4,76.5,483.5,332.2
759.76,6,480.9,76.7,647.7,200.2
759.79,1,959.4,81.9,1181.9,330.9
759.79,2,307.6,74.3,478.1,198.5
759.79,3,109.2,134.6,255.7,330.5
759.79,4,475.4,78.9,650.4,330.5
759.79,5,304.4,76.5,483.5,332.2
759.79,6,480.9,76.7,647.7,200.2
759.83,1,959.4,81.9,1181.9,330.9
759.83,2,307.6,74.3,478.1,198.5
759.83,3,109.2,134.6,255.7,330.5
759.83,4,475.4,78.9,650.4,330.5
759.83,5,304.4,76.5,483.5,332.2
759.83,6,480.9,76.7,647.7,200.2
759.86,1,959.4,81.9,1181.9,330.9
759.86,2,307.6,74.3,478.1,198.5
759.86,3,109.2,134.6,255.7,330.5
759.86,4,475.4,78.9,650.4,330.5
759.86,5,304.4,76.5,483.5,332.2
759.86,6,480.9,76.7,647.7,200.2
759.89,1,959.4,81.9,1181.9,330.9
759.89,2,307.6,74.3,478.1,198.5
759.89,3,109.2,134.6,255.7,330.5
759.89,4,475.4,78.9,650.4,330.5
759.89,5,304.4,76.5,483.5,332.2
759.89,6,480.9,76.7,647.7,200.2
759.92,1,959.4,81.9,1181.9,330.9
759.92,2,307.6,74.3,478.1,198.5
759.92,3,109.2,134.6,255.7,330.5
759.92,4,475.4,78.9,650.4,330.5
759.92,5,304.4,76.5,483.5,332.2
759.92,6,480.9,76.7,647.7,200.2
759.96,1,959.4,81.9,1181.9,330.9
759.96,2,307.6,74.3,478.1,198.5
759.96,3,109.2,134.6,255.7,330.5
759.96,4,475.4,78.9,650.4,330.5
759.96,5,304.4,76.5,483.5,332.2
759.96,6,480.9,76.7,647.7,200.2
759.99,1,959.4,81.9,1181.9,330.9
759.99,2,307.6,74.3,478.1,198.5
759.99,3,109.2,134.6,255.7,330.5
759.99,4,475.4,78.9,650.4,330.5
759.99,5,304.4,76.5,483.5,332.2
759.99,6,480.9,76.7,647.7,200.2
760.02,1,959.4,81.9,1181.9,330.9
760.02,2,307.6,74.3,478.1,198.5
760.02,3,109.2,134.6,255.7,330.5
760.02,4,475.4,78.9,650.4,330.5
760.02,5,304.4,76.5,483.5,332.2
760.02,6,480.9,76.7,647.7,200.2
760.06,1,959.4,81.9,1181.9,330.9
760.06,2,307.6,74.3,478.1,198.5
760.06,3,109.2,134.6,255.7,330.5
760.06,4,475.4,78.9,650.4,330.5
760.06,5,304.4,76.5,483.5,332.2
760.06,6,480.9,76.7,647.7,200.2
760.09,1,959.4,81.9,1181.9,330.9
760.09,2,307.6,74.3,478.1,198.5
760.09,3,109.2,134.6,255.7,330.5
760.09,4,475.4,78.9,650.4,330.5
760.09,5,304.4,76.5,483.5,332.2
760.09,6,480.9,76.7,647.7,200.2
760.12,1,959.4,81.9,1181.9,330.9
760.12,2,307.6,74.3,478.1,198.5
760.12,3,109.2,134.6,255.7,330.5
760.12,4,475.4,78.9,650.4,330.5
760.12,5,304.4,76.5,483.5,332.2
760.12,6,480.9,76.7,647.7,200.2
760.15,1,959.4,81.9,1181.9,330.9
760.15,2,307.6,74.3,478.1,198.5
760.15,3,109.2,134.6,255.7,330.5
760.15,4,475.4,78.9,650.4,330.5
760.15,5,304.4,76.5,483.5,332.2
760.15,6,480.9,76.7,647.7,200.2
760.19,1,959.4,81.9,1181.9,330.9
760.19,2,307.6,74.3,478.1,198.5
760.19,3,109.2,134.6,255.7,330.5
760.19,4,475.4,78.9,650.4,330.5
760.19,5,304.4,76.5,483.5,332.2
760.19,6,480.9,76.7,647.7,200.2
760.22,1,959.4,81.9,1181.9,330.9
760.22,2,307.6,74.3,478.1,198.5
760.22,3,109.2,134.6,255.7,330.5
760.22,4,475.4,78.9,650.4,330.5
760.22,5,304.4,76.5,483.5,332.2
760.22,6,480.9,76.7,647.7,200.2
760.25,1,959.4,81.9,1181.9,330.9
760.25,2,307.6,74.3,478.1,198.5
760.25,3,109.2,134.6,255.7,330.5
760.25,4,475.4,78.9,650.4,330.5
760.25,5,304.4,76.5,483.5,332.2
760.25,6,480.9,76.7,647.7,200.2
760.29,1,959.4,81.9,1181.9,330.9
760.29,2,307.6,74.3,478.1,198.5
760.29,3,109.2,134.6,255.7,330.5
760.29,4,475.4,78.9,650.4,330.5
760.29,5,304.4,76.5,483.5,332.2
760.29,6,480.9,76.7,647.7,200.2
760.32,1,959.4,81.9,1181.9,330.9
760.32,2,307.6,74.3,478.1,198.5
760.32,3,109.2,134.6,255.7,330.5
760.32,4,475.4,78.9,650.4,330.5
760.32,5,304.4,76.5,483.5,332.2
760.32,6,480.9,76.7,647.7,200.2
760.35,1,959.4,81.9,1181.9,330.9
760.35,2,307.6,74.3,478.1,198.5
760.35,3,109.2,134.6,255.7,330.5
760.35,4,475.4,78.9,650.4,330.5
